Food Item,Calories,Protein (g),Carbs (g),Fat (g)
Paneer Tikka,265,18,6,20
Chicken Curry (Home style),220,25,8,12
Dal Tadka,150,7,20,5
Jeera Rice,140,3,30,1
Roti (Whole Wheat),85,3,18,0.5
Masala Dosa,330,6,50,12
Idli (2 pcs),110,4,24,0.3
Chickpea Curry (Chole),180,8,25,6
Palak Paneer,210,14,9,14
Aloo Gobi,120,3,15,6
Greek Yogurt (Plain),60,10,4,0.1
Mixed Vegetable Sabzi,100,2,12,5
Moong Dal Khichdi,200,8,35,4
Fish Moilee,240,22,10,14
Egg Bhurji (2 eggs),190,14,4,14
Buttermilk (Chaas),30,2,3,1
Samosa (1 pc),150,3,18,8
Gulab Jamun (1 pc),150,2,25,6
Peanuts (Handful),160,7,6,14
Almonds (10 pcs),70,2.5,2.5,6
Curd (Dahi),60,3,5,3
Poha,180,3,35,4
Upma,190,4,30,6
Egg Roll,320,12,35,14
Paneer Butter Masala,350,15,12,28
Butter Chicken,380,22,10,30
Tandoori Roti,110,4,22,1
Naan,260,8,45,6
Puri (1 pc),100,2,12,6
Chana Masala,160,7,22,5
Bhindi Masala,110,2,10,8
Baingan Bharta,95,2,8,7
Mutton Biryani,450,25,55,18
Chicken Biryani,400,22,50,15
Vegetable Biryani,320,8,55,10
Fruit Salad,80,1,20,0
Oats with Milk,220,10,35,4
Boiled Eggs (2),155,13,1,10
Peanut Butter Toast,250,9,28,12
Banana,90,1,23,0.3
Apple,52,0.3,14,0.2
Sprouts Salad,120,8,18,1
Sattu Drink,150,9,25,1
Protein Shake,120,24,3,2
